shapeID,shapeLabel,propertyID,path,propertyLabel,AltPropertyID,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note
,,,,,,,,,,,,,
fundingReferences-S,Funding References,funderName,/resource/fundingReferences/funderName,funderName,dct:contributor,TRUE,FALSE,,xsd:string,,/.+/,pattern,"In fact, the constraint is non-zero length, but the xs:string type does not normalize whitespace, so a single blank character also satisfies the constraint."
,,awardTitle,/resource/fundingReferences/awardTitle,awardTitle,dct:description,FALSE,FALSE,,xsd:any,,,,Not a valid data type for TAP
,,funderIdentifier,/resource/fundingReferences/funderIdentifier,funderIdentifier,dct:contributor,FALSE,FALSE,,xsd:string,,,,
,,funderIdentifierType,/resource/fundingReferences/funderIdentifierType,funderIdentifierType,dct:identifier,FALSE,FALSE,,xsd:string,,"ISNI, GRID, ROR, Crossref Funder ID, Other",picklist,
,,schemeURI,/resource/fundingReferences/schemeURI,schemeURI,,FALSE,FALSE,,xsd:anyURI,,,,
,,awardNumber,/resource/fundingReferences/awardNumber,awardNumber,dct:identifier,FALSE,FALSE,,xsd:string,,,,
,,awardURI,/resource/fundingReferences/awardURI,awardURI,dct:identifier,FALSE,FALSE,,xsd:anyURI,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
geoLocation-S,geolocation-S,geoLocationPlace,/resource/geolocations/geoLocationPlace,GeoLocation Place,dct:spatial,FALSE,TRUE,,xsd:anyType,,,,Not a valid data type for TAP
,,point,/resource/geolocations/geolocationPoint,Geolocation Point,,FALSE,TRUE,,,geoLocationPoint-S,,,
,,box,/resource/geolocation/geolocationBox,Geolocation Box,,FALSE,TRUE,,,geoLocationBox-S,,,
,,,,,,FALSE,TRUE,,,geoLocationPolygon-S,,,
,,,,,,,,,,,,,
geoLocationPoint-S,Geolocation Point,pointLongitude,/resource/geolocations/geoLocationPoint,pointLongitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -180; x <= 180,,
,,pointLatitude,/resource/geolocations/geolocationBox,pointLatitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -90; x <= 90,,
,,,,,,,,,,,,,
geoLocationBox-S,Geolocation Box,westBoundLongitude,/resource/geolocations/geolocationBox/westBoundLongitude,westBoundLongitude,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -180; x <= 180,,
,,eastBoundLongitue,/resource/geolocations/geolocationBox/eastBoundLongitude,eastBoundLongitue,dct:spatial,TRUE,FALSE,,xsd:float,,x >= -180; x <= 180,,
